date,open,high,low,close
2022-12-20 00:00:00,1.0612,1.0612,1.06108,1.06112
2022-12-20 00:01:00,1.06112,1.06115,1.06109,1.06113
2022-12-20 00:02:00,1.06112,1.06113,1.06076,1.06082
2022-12-20 00:03:00,1.06083,1.06083,1.06045,1.06048
2022-12-20 00:04:00,1.06045,1.06054,1.06044,1.0605
2022-12-20 00:05:00,1.0605,1.06071,1.06045,1.06061
2022-12-20 00:06:00,1.06061,1.06078,1.06061,1.06076
2022-12-20 00:07:00,1.06075,1.06079,1.06063,1.06079
2022-12-20 00:08:00,1.06077,1.06088,1.06072,1.06079
2022-12-20 00:09:00,1.06079,1.06079,1.06067,1.06068
2022-12-20 00:10:00,1.06068,1.06068,1.06049,1.06051
2022-12-20 00:11:00,1.06052,1.06055,1.06044,1.06044
2022-12-20 00:12:00,1.06045,1.06046,1.06038,1.06046
2022-12-20 00:13:00,1.06047,1.0605,1.06034,1.06039
2022-12-20 00:14:00,1.0604,1.06042,1.06032,1.06034
2022-12-20 00:15:00,1.06033,1.06043,1.06031,1.06042
2022-12-20 00:16:00,1.06041,1.06042,1.06033,1.06033
2022-12-20 00:17:00,1.06033,1.06034,1.06025,1.06033
2022-12-20 00:18:00,1.06035,1.06051,1.06035,1.0605
2022-12-20 00:19:00,1.06051,1.06061,1.06049,1.06061
2022-12-20 00:20:00,1.0606,1.06065,1.06056,1.06059
2022-12-20 00:21:00,1.06058,1.06068,1.06056,1.06067
2022-12-20 00:22:00,1.06066,1.06072,1.06058,1.06062
2022-12-20 00:23:00,1.06062,1.06067,1.06058,1.06058
2022-12-20 00:24:00,1.06058,1.06058,1.06044,1.06046
2022-12-20 00:25:00,1.06047,1.06057,1.06042,1.06054
2022-12-20 00:26:00,1.06054,1.06054,1.06042,1.06042
2022-12-20 00:27:00,1.06045,1.06045,1.0604,1.06042
2022-12-20 00:28:00,1.0604,1.06049,1.06038,1.06046
2022-12-20 00:29:00,1.06047,1.06049,1.06044,1.06048
2022-12-20 00:30:00,1.06046,1.06052,1.06042,1.06043
2022-12-20 00:31:00,1.06042,1.06045,1.06034,1.06038
2022-12-20 00:32:00,1.06037,1.0604,1.06035,1.06035
2022-12-20 00:33:00,1.06035,1.06035,1.06027,1.06032
2022-12-20 00:34:00,1.06033,1.06033,1.06028,1.06031
2022-12-20 00:35:00,1.06031,1.06032,1.06023,1.06028
2022-12-20 00:36:00,1.06027,1.0603,1.06026,1.06026
2022-12-20 00:37:00,1.06025,1.06026,1.06018,1.0602
2022-12-20 00:38:00,1.0602,1.0602,1.06009,1.0601
2022-12-20 00:39:00,1.06009,1.06009,1.05997,1.06001
2022-12-20 00:40:00,1.06,1.06,1.05994,1.05994
2022-12-20 00:41:00,1.05994,1.05999,1.05989,1.05997
2022-12-20 00:42:00,1.05997,1.05997,1.05991,1.05997
2022-12-20 00:43:00,1.05995,1.05995,1.05984,1.05984
2022-12-20 00:44:00,1.05984,1.05993,1.05978,1.05992
2022-12-20 00:45:00,1.05993,1.05997,1.05987,1.05993
2022-12-20 00:46:00,1.05993,1.06005,1.05993,1.06
2022-12-20 00:47:00,1.06002,1.06016,1.06002,1.06014
2022-12-20 00:48:00,1.06014,1.06015,1.05996,1.05997
2022-12-20 00:49:00,1.05997,1.06001,1.05992,1.05995
2022-12-20 00:50:00,1.05995,1.06003,1.05991,1.05991
2022-12-20 00:51:00,1.05991,1.05992,1.05983,1.05992
2022-12-20 00:52:00,1.05993,1.06012,1.05993,1.06008
2022-12-20 00:53:00,1.06008,1.06013,1.06002,1.06012
2022-12-20 00:54:00,1.06012,1.06023,1.06011,1.06021
2022-12-20 00:55:00,1.06024,1.06034,1.06008,1.06013
2022-12-20 00:56:00,1.06012,1.06012,1.05993,1.05994
2022-12-20 00:57:00,1.05996,1.06016,1.05996,1.06016
2022-12-20 00:58:00,1.06015,1.06017,1.06012,1.06013
2022-12-20 00:59:00,1.06014,1.06018,1.05995,1.06001
2022-12-20 01:00:00,1.06002,1.06005,1.05977,1.05999
2022-12-20 01:01:00,1.05999,1.06004,1.05992,1.06004
2022-12-20 01:02:00,1.06004,1.06023,1.06004,1.06023
2022-12-20 01:03:00,1.06024,1.0603,1.06019,1.06027
2022-12-20 01:04:00,1.06027,1.06027,1.06018,1.0602
2022-12-20 01:05:00,1.06017,1.06019,1.06012,1.06013
2022-12-20 01:06:00,1.06013,1.06031,1.06008,1.06031
2022-12-20 01:07:00,1.06033,1.06041,1.06014,1.06014
2022-12-20 01:08:00,1.06014,1.06014,1.05989,1.0601
2022-12-20 01:09:00,1.0601,1.06019,1.06008,1.06014
2022-12-20 01:10:00,1.06015,1.06017,1.05996,1.06003
2022-12-20 01:11:00,1.06002,1.06006,1.05999,1.06001
2022-12-20 01:12:00,1.06001,1.06014,1.05993,1.06012
2022-12-20 01:13:00,1.06011,1.06013,1.05997,1.05998
2022-12-20 01:14:00,1.06001,1.06004,1.05992,1.05998
2022-12-20 01:15:00,1.05999,1.06,1.05986,1.05989
2022-12-20 01:16:00,1.05989,1.05999,1.05984,1.05998
2022-12-20 01:17:00,1.05998,1.05998,1.05983,1.05984
2022-12-20 01:18:00,1.05983,1.05987,1.05979,1.05984
2022-12-20 01:19:00,1.05988,1.05993,1.05984,1.05989
2022-12-20 01:20:00,1.05988,1.06003,1.05983,1.06003
2022-12-20 01:21:00,1.06003,1.06008,1.05997,1.06002
2022-12-20 01:22:00,1.06003,1.06008,1.05997,1.06005
2022-12-20 01:23:00,1.06006,1.06019,1.06002,1.06011
2022-12-20 01:24:00,1.0601,1.06015,1.06004,1.06013
2022-12-20 01:25:00,1.06014,1.06015,1.06006,1.06014
2022-12-20 01:26:00,1.06013,1.06016,1.06001,1.06004
2022-12-20 01:27:00,1.06004,1.06004,1.05992,1.05994
2022-12-20 01:28:00,1.05995,1.06013,1.05987,1.06012
2022-12-20 01:29:00,1.06013,1.06013,1.06001,1.06012
2022-12-20 01:30:00,1.06013,1.06037,1.06011,1.06036
2022-12-20 01:31:00,1.06035,1.06039,1.06025,1.06036
